"ccode.year","country","country.series","unit","series","ccode","year","value","country.year","population"
"AGO.1983","Angola","Angola","Million Kw","capacity","AGO","1983",0.6,"Angola.1983",NA
"AGO.1983","Angola","Angola","Billion Kwh","net imports","AGO","1983",0,"Angola.1983",NA
"AGO.1983","Angola","Angola","Billion Kwh","generation","AGO","1983",1.028,"Angola.1983",NA
"AGO.1983","Angola","Angola","Billion Kwh","distribution losses","AGO","1983",0.196,"Angola.1983",NA
"AGO.1983","Angola","Angola","Billion Kwh","exports","AGO","1983",0,"Angola.1983",NA
"AGO.1983","Angola","Angola","Billion Kwh","imports","AGO","1983",0,"Angola.1983",NA
"AGO.1984","Angola","Angola","Billion Kwh","consumption","AGO","1984",0.86,"Angola.1984",NA
"AGO.1984","Angola","Angola","Million Kw","capacity","AGO","1984",0.6,"Angola.1984",NA
"AGO.1984","Angola","Angola","Billion Kwh","net imports","AGO","1984",0,"Angola.1984",NA
"AGO.1984","Angola","Angola","Billion Kwh","generation","AGO","1984",1.028,"Angola.1984",NA
"AGO.1984","Angola","Angola","Billion Kwh","distribution losses","AGO","1984",0.168,"Angola.1984",NA
"AGO.1984","Angola","Angola","Billion Kwh","exports","AGO","1984",0,"Angola.1984",NA
"AGO.1984","Angola","Angola","Billion Kwh","imports","AGO","1984",0,"Angola.1984",NA
"AGO.1985","Angola","Angola","Billion Kwh","consumption","AGO","1985",0.826,"Angola.1985",NA
"AGO.1985","Angola","Angola","Million Kw","capacity","AGO","1985",0.6,"Angola.1985",NA
"AGO.1985","Angola","Angola","Billion Kwh","net imports","AGO","1985",0,"Angola.1985",NA
"AGO.1985","Angola","Angola","Billion Kwh","generation","AGO","1985",1.028,"Angola.1985",NA
"AGO.1985","Angola","Angola","Billion Kwh","distribution losses","AGO","1985",0.202,"Angola.1985",NA
"AGO.1985","Angola","Angola","Billion Kwh","exports","AGO","1985",0,"Angola.1985",NA
"AGO.1985","Angola","Angola","Billion Kwh","imports","AGO","1985",0,"Angola.1985",NA
"AGO.1986","Angola","Angola","Billion Kwh","consumption","AGO","1986",0.886,"Angola.1986",NA
"AGO.1986","Angola","Angola","Million Kw","capacity","AGO","1986",0.605,"Angola.1986",NA
"AGO.1986","Angola","Angola","Billion Kwh","net imports","AGO","1986",0,"Angola.1986",NA
"AGO.1986","Angola","Angola","Billion Kwh","generation","AGO","1986",1.088,"Angola.1986",NA
"AGO.1986","Angola","Angola","Billion Kwh","distribution losses","AGO","1986",0.202,"Angola.1986",NA
"AGO.1986","Angola","Angola","Billion Kwh","exports","AGO","1986",0,"Angola.1986",NA
"AGO.1986","Angola","Angola","Billion Kwh","imports","AGO","1986",0,"Angola.1986",NA
"AGO.1987","Angola","Angola","Billion Kwh","consumption","AGO","1987",0.894,"Angola.1987",NA
"AGO.1987","Angola","Angola","Million Kw","capacity","AGO","1987",0.617,"Angola.1987",NA
"AGO.1987","Angola","Angola","Billion Kwh","net imports","AGO","1987",0,"Angola.1987",NA
"AGO.1987","Angola","Angola","Billion Kwh","generation","AGO","1987",1.097,"Angola.1987",NA
"AGO.1987","Angola","Angola","Billion Kwh","distribution losses","AGO","1987",0.203,"Angola.1987",NA
"AGO.1987","Angola","Angola","Billion Kwh","exports","AGO","1987",0,"Angola.1987",NA
"AGO.1987","Angola","Angola","Billion Kwh","imports","AGO","1987",0,"Angola.1987",NA
"AGO.1988","Angola","Angola","Billion Kwh","consumption","AGO","1988",0.893,"Angola.1988",NA
"AGO.1988","Angola","Angola","Million Kw","capacity","AGO","1988",0.617,"Angola.1988",NA
"AGO.1988","Angola","Angola","Billion Kwh","net imports","AGO","1988",0,"Angola.1988",NA
"AGO.1988","Angola","Angola","Billion Kwh","generation","AGO","1988",1.097,"Angola.1988",NA
"AGO.1988","Angola","Angola","Billion Kwh","distribution losses","AGO","1988",0.204,"Angola.1988",NA
"AGO.1988","Angola","Angola","Billion Kwh","exports","AGO","1988",0,"Angola.1988",NA
"AGO.1988","Angola","Angola","Billion Kwh","imports","AGO","1988",0,"Angola.1988",NA
"AGO.1989","Angola","Angola","Billion Kwh","consumption","AGO","1989",0.899,"Angola.1989",NA
"AGO.1989","Angola","Angola","Million Kw","capacity","AGO","1989",0.617,"Angola.1989",NA
"AGO.1989","Angola","Angola","Billion Kwh","net imports","AGO","1989",0,"Angola.1989",NA
"AGO.1989","Angola","Angola","Billion Kwh","generation","AGO","1989",1.104,"Angola.1989",NA
"AGO.1989","Angola","Angola","Billion Kwh","distribution losses","AGO","1989",0.205,"Angola.1989",NA
"AGO.1989","Angola","Angola","Billion Kwh","exports","AGO","1989",0,"Angola.1989",NA
"AGO.1989","Angola","Angola","Billion Kwh","imports","AGO","1989",0,"Angola.1989",NA
"AGO.1990","Angola","Angola","Billion Kwh","generation","AGO","1990",1.169,"Angola.1990",12171441
"AGO.1990","Angola","Angola","Billion Kwh","exports","AGO","1990",0,"Angola.1990",12171441
"AGO.1990","Angola","Angola","Billion Kwh","imports","AGO","1990",0,"Angola.1990",12171441
"AGO.1990","Angola","Angola","Billion Kwh","net imports","AGO","1990",0,"Angola.1990",12171441
"AGO.1990","Angola","Angola","Billion Kwh","distribution losses","AGO","1990",0.211,"Angola.1990",12171441
"AGO.1990","Angola","Angola","Billion Kwh","consumption","AGO","1990",0.958,"Angola.1990",12171441
"AGO.1990","Angola","Angola","Million Kw","capacity","AGO","1990",0.617,"Angola.1990",12171441
"AGO.1991","Angola","Angola","Billion Kwh","consumption","AGO","1991",0.899,"Angola.1991",NA
"AGO.1991","Angola","Angola","Million Kw","capacity","AGO","1991",0.617,"Angola.1991",NA
"AGO.1991","Angola","Angola","Billion Kwh","net imports","AGO","1991",0,"Angola.1991",NA
"AGO.1991","Angola","Angola","Billion Kwh","generation","AGO","1991",1.166,"Angola.1991",NA
"AGO.1991","Angola","Angola","Billion Kwh","distribution losses","AGO","1991",0.267,"Angola.1991",NA
"AGO.1991","Angola","Angola","Billion Kwh","exports","AGO","1991",0,"Angola.1991",NA
"AGO.1991","Angola","Angola","Billion Kwh","imports","AGO","1991",0,"Angola.1991",NA
"AGO.1992","Angola","Angola","Billion Kwh","consumption","AGO","1992",1.013,"Angola.1992",NA
"AGO.1992","Angola","Angola","Million Kw","capacity","AGO","1992",0.617,"Angola.1992",NA
"AGO.1992","Angola","Angola","Billion Kwh","net imports","AGO","1992",0,"Angola.1992",NA
"AGO.1992","Angola","Angola","Billion Kwh","generation","AGO","1992",1.283,"Angola.1992",NA
"AGO.1992","Angola","Angola","Billion Kwh","distribution losses","AGO","1992",0.27,"Angola.1992",NA
"AGO.1992","Angola","Angola","Billion Kwh","exports","AGO","1992",0,"Angola.1992",NA
"AGO.1992","Angola","Angola","Billion Kwh","imports","AGO","1992",0,"Angola.1992",NA
"AGO.1993","Angola","Angola","Billion Kwh","consumption","AGO","1993",1.062,"Angola.1993",NA
"AGO.1993","Angola","Angola","Million Kw","capacity","AGO","1993",0.617,"Angola.1993",NA
"AGO.1993","Angola","Angola","Billion Kwh","net imports","AGO","1993",0,"Angola.1993",NA
"AGO.1993","Angola","Angola","Billion Kwh","generation","AGO","1993",1.332,"Angola.1993",NA
"AGO.1993","Angola","Angola","Billion Kwh","distribution losses","AGO","1993",0.27,"Angola.1993",NA
"AGO.1993","Angola","Angola","Billion Kwh","exports","AGO","1993",0,"Angola.1993",NA
"AGO.1993","Angola","Angola","Billion Kwh","imports","AGO","1993",0,"Angola.1993",NA
"AGO.1994","Angola","Angola","Billion Kwh","consumption","AGO","1994",1.071,"Angola.1994",NA
"AGO.1994","Angola","Angola","Million Kw","capacity","AGO","1994",0.617,"Angola.1994",NA
"AGO.1994","Angola","Angola","Billion Kwh","net imports","AGO","1994",0,"Angola.1994",NA
"AGO.1994","Angola","Angola","Billion Kwh","generation","AGO","1994",1.342,"Angola.1994",NA
"AGO.1994","Angola","Angola","Billion Kwh","distribution losses","AGO","1994",0.271,"Angola.1994",NA
"AGO.1994","Angola","Angola","Billion Kwh","exports","AGO","1994",0,"Angola.1994",NA
"AGO.1994","Angola","Angola","Billion Kwh","imports","AGO","1994",0,"Angola.1994",NA
"AGO.1995","Angola","Angola","Billion Kwh","generation","AGO","1995",1.347,"Angola.1995",14268994
"AGO.1995","Angola","Angola","Billion Kwh","imports","AGO","1995",0,"Angola.1995",14268994
"AGO.1995","Angola","Angola","Billion Kwh","distribution losses","AGO","1995",0.273,"Angola.1995",14268994
"AGO.1995","Angola","Angola","Billion Kwh","consumption","AGO","1995",1.074,"Angola.1995",14268994
"AGO.1995","Angola","Angola","Billion Kwh","exports","AGO","1995",0,"Angola.1995",14268994
"AGO.1995","Angola","Angola","Million Kw","capacity","AGO","1995",0.708,"Angola.1995",14268994
"AGO.1995","Angola","Angola","Billion Kwh","net imports","AGO","1995",0,"Angola.1995",14268994
"AGO.1996","Angola","Angola","Billion Kwh","consumption","AGO","1996",1.085,"Angola.1996",NA
"AGO.1996","Angola","Angola","Million Kw","capacity","AGO","1996",0.596,"Angola.1996",NA
"AGO.1996","Angola","Angola","Billion Kwh","net imports","AGO","1996",0,"Angola.1996",NA
"AGO.1996","Angola","Angola","Billion Kwh","generation","AGO","1996",1.377,"Angola.1996",NA
"AGO.1996","Angola","Angola","Billion Kwh","distribution losses","AGO","1996",0.292,"Angola.1996",NA
"AGO.1996","Angola","Angola","Billion Kwh","exports","AGO","1996",0,"Angola.1996",NA
"AGO.1996","Angola","Angola","Billion Kwh","imports","AGO","1996",0,"Angola.1996",NA
"AGO.1997","Angola","Angola","Billion Kwh","consumption","AGO","1997",1.216,"Angola.1997",NA
"AGO.1997","Angola","Angola","Million Kw","capacity","AGO","1997",0.596,"Angola.1997",NA
"AGO.1997","Angola","Angola","Billion Kwh","net imports","AGO","1997",0,"Angola.1997",NA
"AGO.1997","Angola","Angola","Billion Kwh","generation","AGO","1997",1.331,"Angola.1997",NA
"AGO.1997","Angola","Angola","Billion Kwh","distribution losses","AGO","1997",0.115,"Angola.1997",NA
"AGO.1997","Angola","Angola","Billion Kwh","exports","AGO","1997",0,"Angola.1997",NA
"AGO.1997","Angola","Angola","Billion Kwh","imports","AGO","1997",0,"Angola.1997",NA
"AGO.1998","Angola","Angola","Billion Kwh","consumption","AGO","1998",1.328,"Angola.1998",NA
"AGO.1998","Angola","Angola","Million Kw","capacity","AGO","1998",0.596,"Angola.1998",NA
"AGO.1998","Angola","Angola","Billion Kwh","net imports","AGO","1998",0,"Angola.1998",NA
"AGO.1998","Angola","Angola","Billion Kwh","generation","AGO","1998",1.52,"Angola.1998",NA
"AGO.1998","Angola","Angola","Billion Kwh","distribution losses","AGO","1998",0.192,"Angola.1998",NA
"AGO.1998","Angola","Angola","Billion Kwh","exports","AGO","1998",0,"Angola.1998",NA
"AGO.1998","Angola","Angola","Billion Kwh","imports","AGO","1998",0,"Angola.1998",NA
"AGO.1999","Angola","Angola","Billion Kwh","consumption","AGO","1999",1.106,"Angola.1999",NA
"AGO.1999","Angola","Angola","Million Kw","capacity","AGO","1999",0.586,"Angola.1999",NA
"AGO.1999","Angola","Angola","Billion Kwh","net imports","AGO","1999",0,"Angola.1999",NA
"AGO.1999","Angola","Angola","Billion Kwh","generation","AGO","1999",1.3,"Angola.1999",NA
"AGO.1999","Angola","Angola","Billion Kwh","distribution losses","AGO","1999",0.194,"Angola.1999",NA
"AGO.1999","Angola","Angola","Billion Kwh","exports","AGO","1999",0,"Angola.1999",NA
"AGO.1999","Angola","Angola","Billion Kwh","imports","AGO","1999",0,"Angola.1999",NA
"AGO.2000","Angola","Angola","Million Kw","capacity","AGO","2000",0.586,"Angola.2000",16440924
"AGO.2000","Angola","Angola","Billion Kwh","generation","AGO","2000",1.40402,"Angola.2000",16440924
"AGO.2000","Angola","Angola","Billion Kwh","imports","AGO","2000",0,"Angola.2000",16440924
"AGO.2000","Angola","Angola","Billion Kwh","consumption","AGO","2000",1.19302,"Angola.2000",16440924
"AGO.2000","Angola","Angola","Billion Kwh","distribution losses","AGO","2000",0.211,"Angola.2000",16440924
"AGO.2000","Angola","Angola","Billion Kwh","net imports","AGO","2000",0,"Angola.2000",16440924
"AGO.2000","Angola","Angola","Billion Kwh","exports","AGO","2000",0,"Angola.2000",16440924
"AGO.2001","Angola","Angola","Billion Kwh","net imports","AGO","2001",0,"Angola.2001",16983266
"AGO.2001","Angola","Angola","Billion Kwh","consumption","AGO","2001",1.35274,"Angola.2001",16983266
"AGO.2001","Angola","Angola","Billion Kwh","generation","AGO","2001",1.59074,"Angola.2001",16983266
"AGO.2001","Angola","Angola","Million Kw","capacity","AGO","2001",0.635,"Angola.2001",16983266
"AGO.2001","Angola","Angola","Billion Kwh","distribution losses","AGO","2001",0.238,"Angola.2001",16983266
"AGO.2001","Angola","Angola","Billion Kwh","imports","AGO","2001",0,"Angola.2001",16983266
"AGO.2001","Angola","Angola","Billion Kwh","exports","AGO","2001",0,"Angola.2001",16983266
"AGO.2002","Angola","Angola","Billion Kwh","generation","AGO","2002",1.71668,"Angola.2002",17572649
"AGO.2002","Angola","Angola","Billion Kwh","consumption","AGO","2002",1.45868,"Angola.2002",17572649
"AGO.2002","Angola","Angola","Billion Kwh","distribution losses","AGO","2002",0.258,"Angola.2002",17572649
"AGO.2002","Angola","Angola","Billion Kwh","exports","AGO","2002",0,"Angola.2002",17572649
"AGO.2002","Angola","Angola","Million Kw","capacity","AGO","2002",0.665,"Angola.2002",17572649
"AGO.2002","Angola","Angola","Billion Kwh","imports","AGO","2002",0,"Angola.2002",17572649
"AGO.2002","Angola","Angola","Billion Kwh","net imports","AGO","2002",0,"Angola.2002",17572649
"AGO.2003","Angola","Angola","Billion Kwh","distribution losses","AGO","2003",0.288,"Angola.2003",18203369
"AGO.2003","Angola","Angola","Billion Kwh","exports","AGO","2003",0,"Angola.2003",18203369
"AGO.2003","Angola","Angola","Million Kw","capacity","AGO","2003",0.665,"Angola.2003",18203369
"AGO.2003","Angola","Angola","Billion Kwh","imports","AGO","2003",0,"Angola.2003",18203369
"AGO.2003","Angola","Angola","Billion Kwh","net imports","AGO","2003",0,"Angola.2003",18203369
"AGO.2003","Angola","Angola","Billion Kwh","generation","AGO","2003",1.93776,"Angola.2003",18203369
"AGO.2003","Angola","Angola","Billion Kwh","consumption","AGO","2003",1.64976,"Angola.2003",18203369
"AGO.2004","Angola","Angola","Million Kw","capacity","AGO","2004",0.8306,"Angola.2004",18865716
"AGO.2004","Angola","Angola","Billion Kwh","distribution losses","AGO","2004",0.59,"Angola.2004",18865716
"AGO.2004","Angola","Angola","Billion Kwh","consumption","AGO","2004",1.59608,"Angola.2004",18865716
"AGO.2004","Angola","Angola","Billion Kwh","generation","AGO","2004",2.18608,"Angola.2004",18865716
"AGO.2004","Angola","Angola","Billion Kwh","exports","AGO","2004",0,"Angola.2004",18865716
"AGO.2004","Angola","Angola","Billion Kwh","imports","AGO","2004",0,"Angola.2004",18865716
"AGO.2004","Angola","Angola","Billion Kwh","net imports","AGO","2004",0,"Angola.2004",18865716
"AGO.2005","Angola","Angola","Billion Kwh","imports","AGO","2005",0,"Angola.2005",19552542
"AGO.2005","Angola","Angola","Billion Kwh","consumption","AGO","2005",2.06798,"Angola.2005",19552542
"AGO.2005","Angola","Angola","Billion Kwh","exports","AGO","2005",0,"Angola.2005",19552542
"AGO.2005","Angola","Angola","Billion Kwh","distribution losses","AGO","2005",0.662,"Angola.2005",19552542
"AGO.2005","Angola","Angola","Billion Kwh","generation","AGO","2005",2.72998,"Angola.2005",19552542
"AGO.2005","Angola","Angola","Million Kw","capacity","AGO","2005",0.8306,"Angola.2005",19552542
"AGO.2005","Angola","Angola","Billion Kwh","net imports","AGO","2005",0,"Angola.2005",19552542
"AGO.2006","Angola","Angola","Billion Kwh","consumption","AGO","2006",2.85054,"Angola.2006",20262399
"AGO.2006","Angola","Angola","Billion Kwh","net imports","AGO","2006",0,"Angola.2006",20262399
"AGO.2006","Angola","Angola","Billion Kwh","distribution losses","AGO","2006",0.39,"Angola.2006",20262399
"AGO.2006","Angola","Angola","Billion Kwh","imports","AGO","2006",0,"Angola.2006",20262399
"AGO.2006","Angola","Angola","Billion Kwh","exports","AGO","2006",0,"Angola.2006",20262399
"AGO.2006","Angola","Angola","Million Kw","capacity","AGO","2006",0.8432,"Angola.2006",20262399
"AGO.2006","Angola","Angola","Billion Kwh","generation","AGO","2006",3.24054,"Angola.2006",20262399
"AGO.2007","Angola","Angola","Billion Kwh","generation","AGO","2007",3.1488,"Angola.2007",20997687
"AGO.2007","Angola","Angola","Million Kw","capacity","AGO","2007",1.446,"Angola.2007",20997687
"AGO.2007","Angola","Angola","Billion Kwh","consumption","AGO","2007",2.7178,"Angola.2007",20997687
"AGO.2007","Angola","Angola","Billion Kwh","exports","AGO","2007",0,"Angola.2007",20997687
"AGO.2007","Angola","Angola","Billion Kwh","distribution losses","AGO","2007",0.431,"Angola.2007",20997687
"AGO.2007","Angola","Angola","Billion Kwh","net imports","AGO","2007",0,"Angola.2007",20997687
"AGO.2007","Angola","Angola","Billion Kwh","imports","AGO","2007",0,"Angola.2007",20997687
"AGO.2008","Angola","Angola","Million Kw","capacity","AGO","2008",1.462,"Angola.2008",21759420
"AGO.2008","Angola","Angola","Billion Kwh","generation","AGO","2008",4.06368,"Angola.2008",21759420
"AGO.2008","Angola","Angola","Billion Kwh","consumption","AGO","2008",3.64768,"Angola.2008",21759420
"AGO.2008","Angola","Angola","Billion Kwh","distribution losses","AGO","2008",0.416,"Angola.2008",21759420
"AGO.2008","Angola","Angola","Billion Kwh","imports","AGO","2008",0,"Angola.2008",21759420
"AGO.2008","Angola","Angola","Billion Kwh","net imports","AGO","2008",0,"Angola.2008",21759420
"AGO.2008","Angola","Angola","Billion Kwh","exports","AGO","2008",0,"Angola.2008",21759420
"AGO.2009","Angola","Angola","Billion Kwh","generation","AGO","2009",4.60554,"Angola.2009",22549547
"AGO.2009","Angola","Angola","Billion Kwh","distribution losses","AGO","2009",0.474,"Angola.2009",22549547
"AGO.2009","Angola","Angola","Million Kw","capacity","AGO","2009",1.462,"Angola.2009",22549547
"AGO.2009","Angola","Angola","Billion Kwh","consumption","AGO","2009",4.13154,"Angola.2009",22549547
"AGO.2009","Angola","Angola","Billion Kwh","exports","AGO","2009",0,"Angola.2009",22549547
"AGO.2009","Angola","Angola","Billion Kwh","imports","AGO","2009",0,"Angola.2009",22549547
"AGO.2009","Angola","Angola","Billion Kwh","net imports","AGO","2009",0,"Angola.2009",22549547
"AGO.2010","Angola","Angola","Billion Kwh","net imports","AGO","2010",0,"Angola.2010",23369131
"AGO.2010","Angola","Angola","Billion Kwh","distribution losses","AGO","2010",0.627,"Angola.2010",23369131
"AGO.2010","Angola","Angola","Billion Kwh","exports","AGO","2010",0,"Angola.2010",23369131
"AGO.2010","Angola","Angola","Million Kw","capacity","AGO","2010",1.469,"Angola.2010",23369131
"AGO.2010","Angola","Angola","Billion Kwh","consumption","AGO","2010",4.69024,"Angola.2010",23369131
"AGO.2010","Angola","Angola","Billion Kwh","generation","AGO","2010",5.31724,"Angola.2010",23369131
"AGO.2010","Angola","Angola","Billion Kwh","imports","AGO","2010",0,"Angola.2010",23369131
"AGO.2011","Angola","Angola","Billion Kwh","imports","AGO","2011",0,"Angola.2011",24218565
"AGO.2011","Angola","Angola","Billion Kwh","net imports","AGO","2011",0,"Angola.2011",24218565
"AGO.2011","Angola","Angola","Billion Kwh","distribution losses","AGO","2011",0.637,"Angola.2011",24218565
"AGO.2011","Angola","Angola","Billion Kwh","generation","AGO","2011",5.52336,"Angola.2011",24218565
"AGO.2011","Angola","Angola","Billion Kwh","exports","AGO","2011",0,"Angola.2011",24218565
"AGO.2011","Angola","Angola","Billion Kwh","consumption","AGO","2011",4.88636,"Angola.2011",24218565
"AGO.2011","Angola","Angola","Million Kw","capacity","AGO","2011",1.583,"Angola.2011",24218565
"AGO.2012","Angola","Angola","Billion Kwh","distribution losses","AGO","2012",0.699,"Angola.2012",25096150
"AGO.2012","Angola","Angola","Billion Kwh","net imports","AGO","2012",0,"Angola.2012",25096150
"AGO.2012","Angola","Angola","Billion Kwh","exports","AGO","2012",0,"Angola.2012",25096150
"AGO.2012","Angola","Angola","Million Kw","capacity","AGO","2012",1.656,"Angola.2012",25096150
"AGO.2012","Angola","Angola","Billion Kwh","imports","AGO","2012",0,"Angola.2012",25096150
"AGO.2012","Angola","Angola","Billion Kwh","generation","AGO","2012",6.03408,"Angola.2012",25096150
"AGO.2012","Angola","Angola","Billion Kwh","consumption","AGO","2012",5.33508,"Angola.2012",25096150
"AGO.2013","Angola","Angola","Billion Kwh","distribution losses","AGO","2013",0.926,"Angola.2013",25998340
"AGO.2013","Angola","Angola","Million Kw","capacity","AGO","2013",1.718,"Angola.2013",25998340
"AGO.2013","Angola","Angola","Billion Kwh","imports","AGO","2013",0,"Angola.2013",25998340
"AGO.2013","Angola","Angola","Billion Kwh","generation","AGO","2013",7.97606,"Angola.2013",25998340
"AGO.2013","Angola","Angola","Billion Kwh","net imports","AGO","2013",0,"Angola.2013",25998340
"AGO.2013","Angola","Angola","Billion Kwh","exports","AGO","2013",0,"Angola.2013",25998340
"AGO.2013","Angola","Angola","Billion Kwh","consumption","AGO","2013",7.05006,"Angola.2013",25998340
"AGO.2014","Angola","Angola","Billion Kwh","consumption","AGO","2014",8.14866,"Angola.2014",26920466
"AGO.2014","Angola","Angola","Billion Kwh","distribution losses","AGO","2014",1.068,"Angola.2014",26920466
"AGO.2014","Angola","Angola","Billion Kwh","exports","AGO","2014",0,"Angola.2014",26920466
"AGO.2014","Angola","Angola","Million Kw","capacity","AGO","2014",1.785,"Angola.2014",26920466
"AGO.2014","Angola","Angola","Billion Kwh","imports","AGO","2014",0,"Angola.2014",26920466
"AGO.2014","Angola","Angola","Billion Kwh","net imports","AGO","2014",0,"Angola.2014",26920466
"AGO.2014","Angola","Angola","Billion Kwh","generation","AGO","2014",9.21666,"Angola.2014",26920466
"AGO.2015","Angola","Angola","Billion Kwh","distribution losses","AGO","2015",1.1,"Angola.2015",27859305
"AGO.2015","Angola","Angola","Billion Kwh","imports","AGO","2015",0,"Angola.2015",27859305
"AGO.2015","Angola","Angola","Million Kw","capacity","AGO","2015",2.106,"Angola.2015",27859305
"AGO.2015","Angola","Angola","Billion Kwh","exports","AGO","2015",0,"Angola.2015",27859305
"AGO.2015","Angola","Angola","Billion Kwh","net imports","AGO","2015",0,"Angola.2015",27859305
"AGO.2015","Angola","Angola","Billion Kwh","generation","AGO","2015",9.49768,"Angola.2015",27859305
"AGO.2015","Angola","Angola","Billion Kwh","consumption","AGO","2015",8.39768,"Angola.2015",27859305
"AGO.2016","Angola","Angola","Billion Kwh","consumption","AGO","2016",9.03624,"Angola.2016",NA
"AGO.2016","Angola","Angola","Million Kw","capacity","AGO","2016",2.613,"Angola.2016",NA
"AGO.2016","Angola","Angola","Billion Kwh","net imports","AGO","2016",0,"Angola.2016",NA
"AGO.2016","Angola","Angola","Billion Kwh","generation","AGO","2016",10.20324,"Angola.2016",NA
"AGO.2016","Angola","Angola","Billion Kwh","distribution losses","AGO","2016",1.167,"Angola.2016",NA
"AGO.2016","Angola","Angola","Billion Kwh","exports","AGO","2016",0,"Angola.2016",NA
"AGO.2016","Angola","Angola","Billion Kwh","imports","AGO","2016",0,"Angola.2016",NA
"AGO.2017","Angola","Angola","Billion Kwh","consumption","AGO","2017",NA,"Angola.2017",NA
"AGO.2017","Angola","Angola","Million Kw","capacity","AGO","2017",NA,"Angola.2017",NA
"AGO.2017","Angola","Angola","Billion Kwh","net imports","AGO","2017",NA,"Angola.2017",NA
"AGO.2017","Angola","Angola","Billion Kwh","generation","AGO","2017",NA,"Angola.2017",NA
"AGO.2017","Angola","Angola","Billion Kwh","distribution losses","AGO","2017",NA,"Angola.2017",NA
"AGO.2017","Angola","Angola","Billion Kwh","exports","AGO","2017",NA,"Angola.2017",NA
"AGO.2017","Angola","Angola","Billion Kwh","imports","AGO","2017",NA,"Angola.2017",NA
"BEN.1980","Benin","Benin","Billion Kwh","distribution losses","BEN","1980",0.021,"Benin.1980",NA
"BEN.1980","Benin","Benin","Billion Kwh","generation","BEN","1980",0.005,"Benin.1980",NA
"BEN.1980","Benin","Benin","Billion Kwh","consumption","BEN","1980",0.101,"Benin.1980",NA
"BEN.1980","Benin","Benin","Million Kw","capacity","BEN","1980",0.015,"Benin.1980",NA
"BEN.1980","Benin","Benin","Billion Kwh","net imports","BEN","1980",0.117,"Benin.1980",NA
"BEN.1980","Benin","Benin","Billion Kwh","imports","BEN","1980",0.117,"Benin.1980",NA
"BEN.1980","Benin","Benin","Billion Kwh","exports","BEN","1980",0,"Benin.1980",NA
"BEN.1981","Benin","Benin","Billion Kwh","distribution losses","BEN","1981",0.026,"Benin.1981",NA
"BEN.1981","Benin","Benin","Billion Kwh","generation","BEN","1981",0.005,"Benin.1981",NA
"BEN.1981","Benin","Benin","Billion Kwh","consumption","BEN","1981",0.115,"Benin.1981",NA
"BEN.1981","Benin","Benin","Million Kw","capacity","BEN","1981",0.015,"Benin.1981",NA
"BEN.1981","Benin","Benin","Billion Kwh","net imports","BEN","1981",0.136,"Benin.1981",NA
"BEN.1981","Benin","Benin","Billion Kwh","imports","BEN","1981",0.136,"Benin.1981",NA
"BEN.1981","Benin","Benin","Billion Kwh","exports","BEN","1981",0,"Benin.1981",NA
"BEN.1982","Benin","Benin","Billion Kwh","distribution losses","BEN","1982",0.016,"Benin.1982",NA
"BEN.1982","Benin","Benin","Billion Kwh","generation","BEN","1982",0.005,"Benin.1982",NA
