"country","ccode","electricity.source","year","value","series","unit","country.year","ccode.year"
"Angola","AGO","Hydro","2016",NA,"electricity source","percent","Angola.2016","AGO.2016"
"Angola","AGO","Hydro","2017",NA,"electricity source","percent","Angola.2017","AGO.2017"
"Angola","AGO","Hydro","2018",NA,"electricity source","percent","Angola.2018","AGO.2018"
"Angola","AGO","Gas","1999",0,"electricity source","percent","Angola.1999","AGO.1999"
"Angola","AGO","Gas","2000",0,"electricity source","percent","Angola.2000","AGO.2000"
"Angola","AGO","Gas","2001",0,"electricity source","percent","Angola.2001","AGO.2001"
"Angola","AGO","Gas","2002",0,"electricity source","percent","Angola.2002","AGO.2002"
"Angola","AGO","Gas","2003",0,"electricity source","percent","Angola.2003","AGO.2003"
"Angola","AGO","Gas","2004",0,"electricity source","percent","Angola.2004","AGO.2004"
"Angola","AGO","Gas","2005",0,"electricity source","percent","Angola.2005","AGO.2005"
"Angola","AGO","Gas","2006",0,"electricity source","percent","Angola.2006","AGO.2006"
"Angola","AGO","Gas","2007",0,"electricity source","percent","Angola.2007","AGO.2007"
"Angola","AGO","Gas","2008",0,"electricity source","percent","Angola.2008","AGO.2008"
"Angola","AGO","Gas","2009",0,"electricity source","percent","Angola.2009","AGO.2009"
"Angola","AGO","Gas","2010",0,"electricity source","percent","Angola.2010","AGO.2010"
"Angola","AGO","Gas","2011",0,"electricity source","percent","Angola.2011","AGO.2011"
"Angola","AGO","Gas","2012",0,"electricity source","percent","Angola.2012","AGO.2012"
"Angola","AGO","Gas","2013",0,"electricity source","percent","Angola.2013","AGO.2013"
"Angola","AGO","Gas","2014",0,"electricity source","percent","Angola.2014","AGO.2014"
"Angola","AGO","Gas","2015",0,"electricity source","percent","Angola.2015","AGO.2015"
"Angola","AGO","Gas","2016",NA,"electricity source","percent","Angola.2016","AGO.2016"
"Angola","AGO","Gas","2017",NA,"electricity source","percent","Angola.2017","AGO.2017"
"Angola","AGO","Gas","2018",NA,"electricity source","percent","Angola.2018","AGO.2018"
"Angola","AGO","Nuclear","1999",0,"electricity source","percent","Angola.1999","AGO.1999"
"Angola","AGO","Nuclear","2000",0,"electricity source","percent","Angola.2000","AGO.2000"
"Angola","AGO","Nuclear","2001",0,"electricity source","percent","Angola.2001","AGO.2001"
"Angola","AGO","Nuclear","2002",0,"electricity source","percent","Angola.2002","AGO.2002"
"Angola","AGO","Nuclear","2003",0,"electricity source","percent","Angola.2003","AGO.2003"
"Angola","AGO","Nuclear","2004",0,"electricity source","percent","Angola.2004","AGO.2004"
"Angola","AGO","Nuclear","2005",0,"electricity source","percent","Angola.2005","AGO.2005"
"Angola","AGO","Nuclear","2006",0,"electricity source","percent","Angola.2006","AGO.2006"
"Angola","AGO","Nuclear","2007",0,"electricity source","percent","Angola.2007","AGO.2007"
"Angola","AGO","Nuclear","2008",0,"electricity source","percent","Angola.2008","AGO.2008"
"Angola","AGO","Nuclear","2009",0,"electricity source","percent","Angola.2009","AGO.2009"
"Angola","AGO","Nuclear","2010",0,"electricity source","percent","Angola.2010","AGO.2010"
"Angola","AGO","Nuclear","2011",0,"electricity source","percent","Angola.2011","AGO.2011"
"Angola","AGO","Nuclear","2012",0,"electricity source","percent","Angola.2012","AGO.2012"
"Angola","AGO","Nuclear","2013",0,"electricity source","percent","Angola.2013","AGO.2013"
"Angola","AGO","Nuclear","2014",0,"electricity source","percent","Angola.2014","AGO.2014"
"Angola","AGO","Nuclear","2015",NA,"electricity source","percent","Angola.2015","AGO.2015"
"Angola","AGO","Nuclear","2016",NA,"electricity source","percent","Angola.2016","AGO.2016"
"Angola","AGO","Nuclear","2017",NA,"electricity source","percent","Angola.2017","AGO.2017"
"Angola","AGO","Nuclear","2018",NA,"electricity source","percent","Angola.2018","AGO.2018"
"Angola","AGO","Oil","1999",0.330337078651685,"electricity source","percent","Angola.1999","AGO.1999"
"Angola","AGO","Oil","2000",0.368858131487889,"electricity source","percent","Angola.2000","AGO.2000"
"Angola","AGO","Oil","2001",0.379120879120879,"electricity source","percent","Angola.2001","AGO.2001"
"Angola","AGO","Oil","2002",0.352407932011331,"electricity source","percent","Angola.2002","AGO.2002"
"Angola","AGO","Oil","2003",0.377944862155388,"electricity source","percent","Angola.2003","AGO.2003"
"Angola","AGO","Oil","2004",0.21594982078853,"electricity source","percent","Angola.2004","AGO.2004"
"Angola","AGO","Oil","2005",0.203517587939699,"electricity source","percent","Angola.2005","AGO.2005"
"Angola","AGO","Oil","2006",0.193889897156685,"electricity source","percent","Angola.2006","AGO.2006"
"Angola","AGO","Oil","2007",0.223811004041032,"electricity source","percent","Angola.2007","AGO.2007"
"Angola","AGO","Oil","2008",0.245909528392685,"electricity source","percent","Angola.2008","AGO.2008"
"Angola","AGO","Oil","2009",0.346568109820486,"electricity source","percent","Angola.2009","AGO.2009"
"Angola","AGO","Oil","2010",0.320425766195632,"electricity source","percent","Angola.2010","AGO.2010"
"Angola","AGO","Oil","2011",0.290921960714918,"electricity source","percent","Angola.2011","AGO.2011"
"Angola","AGO","Oil","2012",0.392005157962605,"electricity source","percent","Angola.2012","AGO.2012"
"Angola","AGO","Oil","2013",0.419790652385589,"electricity source","percent","Angola.2013","AGO.2013"
"Angola","AGO","Oil","2014",0.468248945147679,"electricity source","percent","Angola.2014","AGO.2014"
"Angola","AGO","Oil","2015",0.468250716919295,"electricity source","percent","Angola.2015","AGO.2015"
"Angola","AGO","Oil","2016",NA,"electricity source","percent","Angola.2016","AGO.2016"
"Angola","AGO","Oil","2017",NA,"electricity source","percent","Angola.2017","AGO.2017"
"Angola","AGO","Oil","2018",NA,"electricity source","percent","Angola.2018","AGO.2018"
"Angola","AGO","Renewables","1999",0,"electricity source","percent","Angola.1999","AGO.1999"
"Angola","AGO","Renewables","2000",0,"electricity source","percent","Angola.2000","AGO.2000"
"Angola","AGO","Renewables","2001",0,"electricity source","percent","Angola.2001","AGO.2001"
"Angola","AGO","Renewables","2002",0,"electricity source","percent","Angola.2002","AGO.2002"
"Angola","AGO","Renewables","2003",0,"electricity source","percent","Angola.2003","AGO.2003"
"Angola","AGO","Renewables","2004",0,"electricity source","percent","Angola.2004","AGO.2004"
"Angola","AGO","Renewables","2005",0,"electricity source","percent","Angola.2005","AGO.2005"
"Angola","AGO","Renewables","2006",0,"electricity source","percent","Angola.2006","AGO.2006"
"Angola","AGO","Renewables","2007",0,"electricity source","percent","Angola.2007","AGO.2007"
"Angola","AGO","Renewables","2008",0,"electricity source","percent","Angola.2008","AGO.2008"
"Angola","AGO","Renewables","2009",0,"electricity source","percent","Angola.2009","AGO.2009"
"Angola","AGO","Renewables","2010",0,"electricity source","percent","Angola.2010","AGO.2010"
"Angola","AGO","Renewables","2011",0,"electricity source","percent","Angola.2011","AGO.2011"
"Angola","AGO","Renewables","2012",0,"electricity source","percent","Angola.2012","AGO.2012"
"Angola","AGO","Renewables","2013",0,"electricity source","percent","Angola.2013","AGO.2013"
"Angola","AGO","Renewables","2014",0,"electricity source","percent","Angola.2014","AGO.2014"
"Angola","AGO","Renewables","2015",0,"electricity source","percent","Angola.2015","AGO.2015"
"Angola","AGO","Renewables","2016",NA,"electricity source","percent","Angola.2016","AGO.2016"
"Angola","AGO","Renewables","2017",NA,"electricity source","percent","Angola.2017","AGO.2017"
"Angola","AGO","Renewables","2018",NA,"electricity source","percent","Angola.2018","AGO.2018"
"Benin","BEN","Coal","1999",0,"electricity source","percent","Benin.1999","BEN.1999"
"Benin","BEN","Coal","2000",0,"electricity source","percent","Benin.2000","BEN.2000"
"Benin","BEN","Coal","2001",0,"electricity source","percent","Benin.2001","BEN.2001"
"Benin","BEN","Coal","2002",0,"electricity source","percent","Benin.2002","BEN.2002"
"Benin","BEN","Coal","2003",0,"electricity source","percent","Benin.2003","BEN.2003"
"Benin","BEN","Coal","2004",0,"electricity source","percent","Benin.2004","BEN.2004"
"Benin","BEN","Coal","2005",0,"electricity source","percent","Benin.2005","BEN.2005"
"Benin","BEN","Coal","2006",0,"electricity source","percent","Benin.2006","BEN.2006"
"Benin","BEN","Coal","2007",0,"electricity source","percent","Benin.2007","BEN.2007"
"Benin","BEN","Coal","2008",0,"electricity source","percent","Benin.2008","BEN.2008"
"Benin","BEN","Coal","2009",0,"electricity source","percent","Benin.2009","BEN.2009"
"Benin","BEN","Coal","2010",0,"electricity source","percent","Benin.2010","BEN.2010"
"Benin","BEN","Coal","2011",0,"electricity source","percent","Benin.2011","BEN.2011"
"Benin","BEN","Coal","2012",0,"electricity source","percent","Benin.2012","BEN.2012"
"Benin","BEN","Coal","2013",0,"electricity source","percent","Benin.2013","BEN.2013"
"Benin","BEN","Coal","2014",0,"electricity source","percent","Benin.2014","BEN.2014"
"Benin","BEN","Coal","2015",0,"electricity source","percent","Benin.2015","BEN.2015"
"Benin","BEN","Coal","2016",NA,"electricity source","percent","Benin.2016","BEN.2016"
"Benin","BEN","Coal","2017",NA,"electricity source","percent","Benin.2017","BEN.2017"
"Benin","BEN","Coal","2018",NA,"electricity source","percent","Benin.2018","BEN.2018"
"Benin","BEN","Hydro","1999",0.0277777777777778,"electricity source","percent","Benin.1999","BEN.1999"
"Benin","BEN","Hydro","2000",0.0238095238095238,"electricity source","percent","Benin.2000","BEN.2000"
"Benin","BEN","Hydro","2001",0.0303030303030303,"electricity source","percent","Benin.2001","BEN.2001"
"Benin","BEN","Hydro","2002",0.0317460317460317,"electricity source","percent","Benin.2002","BEN.2002"
"Benin","BEN","Hydro","2003",0.025,"electricity source","percent","Benin.2003","BEN.2003"
"Benin","BEN","Hydro","2004",0.0123456790123457,"electricity source","percent","Benin.2004","BEN.2004"
"Benin","BEN","Hydro","2005",0.00934579439252336,"electricity source","percent","Benin.2005","BEN.2005"
"Benin","BEN","Hydro","2006",0,"electricity source","percent","Benin.2006","BEN.2006"
"Benin","BEN","Hydro","2007",0,"electricity source","percent","Benin.2007","BEN.2007"
"Benin","BEN","Hydro","2008",0,"electricity source","percent","Benin.2008","BEN.2008"
"Benin","BEN","Hydro","2009",0,"electricity source","percent","Benin.2009","BEN.2009"
"Benin","BEN","Hydro","2010",0,"electricity source","percent","Benin.2010","BEN.2010"
"Benin","BEN","Hydro","2011",0,"electricity source","percent","Benin.2011","BEN.2011"
"Benin","BEN","Hydro","2012",0,"electricity source","percent","Benin.2012","BEN.2012"
"Benin","BEN","Hydro","2013",0,"electricity source","percent","Benin.2013","BEN.2013"
"Benin","BEN","Hydro","2014",0,"electricity source","percent","Benin.2014","BEN.2014"
"Benin","BEN","Hydro","2015",0.0409356725146199,"electricity source","percent","Benin.2015","BEN.2015"
"Benin","BEN","Hydro","2016",NA,"electricity source","percent","Benin.2016","BEN.2016"
"Benin","BEN","Hydro","2017",NA,"electricity source","percent","Benin.2017","BEN.2017"
"Benin","BEN","Hydro","2018",NA,"electricity source","percent","Benin.2018","BEN.2018"
"Benin","BEN","Gas","1999",0,"electricity source","percent","Benin.1999","BEN.1999"
"Benin","BEN","Gas","2000",0,"electricity source","percent","Benin.2000","BEN.2000"
"Benin","BEN","Gas","2001",0,"electricity source","percent","Benin.2001","BEN.2001"
"Benin","BEN","Gas","2002",0,"electricity source","percent","Benin.2002","BEN.2002"
"Benin","BEN","Gas","2003",0,"electricity source","percent","Benin.2003","BEN.2003"
"Benin","BEN","Gas","2004",0,"electricity source","percent","Benin.2004","BEN.2004"
"Benin","BEN","Gas","2005",0,"electricity source","percent","Benin.2005","BEN.2005"
"Benin","BEN","Gas","2006",0,"electricity source","percent","Benin.2006","BEN.2006"
"Benin","BEN","Gas","2007",0,"electricity source","percent","Benin.2007","BEN.2007"
"Benin","BEN","Gas","2008",0,"electricity source","percent","Benin.2008","BEN.2008"
"Benin","BEN","Gas","2009",0,"electricity source","percent","Benin.2009","BEN.2009"
"Benin","BEN","Gas","2010",0,"electricity source","percent","Benin.2010","BEN.2010"
"Benin","BEN","Gas","2011",0,"electricity source","percent","Benin.2011","BEN.2011"
"Benin","BEN","Gas","2012",0,"electricity source","percent","Benin.2012","BEN.2012"
"Benin","BEN","Gas","2013",0,"electricity source","percent","Benin.2013","BEN.2013"
"Benin","BEN","Gas","2014",0,"electricity source","percent","Benin.2014","BEN.2014"
"Benin","BEN","Gas","2015",0,"electricity source","percent","Benin.2015","BEN.2015"
"Benin","BEN","Gas","2016",NA,"electricity source","percent","Benin.2016","BEN.2016"
"Benin","BEN","Gas","2017",NA,"electricity source","percent","Benin.2017","BEN.2017"
"Benin","BEN","Gas","2018",NA,"electricity source","percent","Benin.2018","BEN.2018"
"Benin","BEN","Nuclear","1999",0,"electricity source","percent","Benin.1999","BEN.1999"
"Benin","BEN","Nuclear","2000",0,"electricity source","percent","Benin.2000","BEN.2000"
"Benin","BEN","Nuclear","2001",0,"electricity source","percent","Benin.2001","BEN.2001"
"Benin","BEN","Nuclear","2002",0,"electricity source","percent","Benin.2002","BEN.2002"
"Benin","BEN","Nuclear","2003",0,"electricity source","percent","Benin.2003","BEN.2003"
"Benin","BEN","Nuclear","2004",0,"electricity source","percent","Benin.2004","BEN.2004"
"Benin","BEN","Nuclear","2005",0,"electricity source","percent","Benin.2005","BEN.2005"
"Benin","BEN","Nuclear","2006",0,"electricity source","percent","Benin.2006","BEN.2006"
"Benin","BEN","Nuclear","2007",0,"electricity source","percent","Benin.2007","BEN.2007"
"Benin","BEN","Nuclear","2008",0,"electricity source","percent","Benin.2008","BEN.2008"
"Benin","BEN","Nuclear","2009",0,"electricity source","percent","Benin.2009","BEN.2009"
"Benin","BEN","Nuclear","2010",0,"electricity source","percent","Benin.2010","BEN.2010"
"Benin","BEN","Nuclear","2011",0,"electricity source","percent","Benin.2011","BEN.2011"
"Benin","BEN","Nuclear","2012",0,"electricity source","percent","Benin.2012","BEN.2012"
"Benin","BEN","Nuclear","2013",0,"electricity source","percent","Benin.2013","BEN.2013"
"Benin","BEN","Nuclear","2014",0,"electricity source","percent","Benin.2014","BEN.2014"
"Benin","BEN","Nuclear","2015",NA,"electricity source","percent","Benin.2015","BEN.2015"
"Benin","BEN","Nuclear","2016",NA,"electricity source","percent","Benin.2016","BEN.2016"
"Benin","BEN","Nuclear","2017",NA,"electricity source","percent","Benin.2017","BEN.2017"
"Benin","BEN","Nuclear","2018",NA,"electricity source","percent","Benin.2018","BEN.2018"
"Benin","BEN","Oil","1999",0.972222222222222,"electricity source","percent","Benin.1999","BEN.1999"
"Benin","BEN","Oil","2000",0.976190476190476,"electricity source","percent","Benin.2000","BEN.2000"
"Benin","BEN","Oil","2001",0.96969696969697,"electricity source","percent","Benin.2001","BEN.2001"
"Benin","BEN","Oil","2002",0.968253968253968,"electricity source","percent","Benin.2002","BEN.2002"
"Benin","BEN","Oil","2003",0.975,"electricity source","percent","Benin.2003","BEN.2003"
"Benin","BEN","Oil","2004",0.987654320987654,"electricity source","percent","Benin.2004","BEN.2004"
"Benin","BEN","Oil","2005",0.990654205607477,"electricity source","percent","Benin.2005","BEN.2005"
"Benin","BEN","Oil","2006",0.974025974025974,"electricity source","percent","Benin.2006","BEN.2006"
"Benin","BEN","Oil","2007",0.986363636363636,"electricity source","percent","Benin.2007","BEN.2007"
"Benin","BEN","Oil","2008",0.986899563318777,"electricity source","percent","Benin.2008","BEN.2008"
"Benin","BEN","Oil","2009",0.9921875,"electricity source","percent","Benin.2009","BEN.2009"
"Benin","BEN","Oil","2010",0.991304347826087,"electricity source","percent","Benin.2010","BEN.2010"
"Benin","BEN","Oil","2011",1,"electricity source","percent","Benin.2011","BEN.2011"
"Benin","BEN","Oil","2012",1,"electricity source","percent","Benin.2012","BEN.2012"
"Benin","BEN","Oil","2013",1,"electricity source","percent","Benin.2013","BEN.2013"
"Benin","BEN","Oil","2014",1,"electricity source","percent","Benin.2014","BEN.2014"
"Benin","BEN","Oil","2015",0.944444444444444,"electricity source","percent","Benin.2015","BEN.2015"
"Benin","BEN","Oil","2016",NA,"electricity source","percent","Benin.2016","BEN.2016"
"Benin","BEN","Oil","2017",NA,"electricity source","percent","Benin.2017","BEN.2017"
"Benin","BEN","Oil","2018",NA,"electricity source","percent","Benin.2018","BEN.2018"
"Benin","BEN","Renewables","1999",0,"electricity source","percent","Benin.1999","BEN.1999"
"Benin","BEN","Renewables","2000",0,"electricity source","percent","Benin.2000","BEN.2000"
"Benin","BEN","Renewables","2001",0,"electricity source","percent","Benin.2001","BEN.2001"
"Benin","BEN","Renewables","2002",0,"electricity source","percent","Benin.2002","BEN.2002"
"Benin","BEN","Renewables","2003",0,"electricity source","percent","Benin.2003","BEN.2003"
"Benin","BEN","Renewables","2004",0,"electricity source","percent","Benin.2004","BEN.2004"
"Benin","BEN","Renewables","2005",0,"electricity source","percent","Benin.2005","BEN.2005"
"Benin","BEN","Renewables","2006",0.025974025974026,"electricity source","percent","Benin.2006","BEN.2006"
"Benin","BEN","Renewables","2007",0.0136363636363636,"electricity source","percent","Benin.2007","BEN.2007"
"Benin","BEN","Renewables","2008",0.0131004366812227,"electricity source","percent","Benin.2008","BEN.2008"
"Benin","BEN","Renewables","2009",0.0078125,"electricity source","percent","Benin.2009","BEN.2009"
"Benin","BEN","Renewables","2010",0.00869565217391304,"electricity source","percent","Benin.2010","BEN.2010"
"Benin","BEN","Renewables","2011",0,"electricity source","percent","Benin.2011","BEN.2011"
"Benin","BEN","Renewables","2012",0,"electricity source","percent","Benin.2012","BEN.2012"
"Benin","BEN","Renewables","2013",0,"electricity source","percent","Benin.2013","BEN.2013"
"Benin","BEN","Renewables","2014",0,"electricity source","percent","Benin.2014","BEN.2014"
"Benin","BEN","Renewables","2015",0.0146198830409357,"electricity source","percent","Benin.2015","BEN.2015"
"Benin","BEN","Renewables","2016",NA,"electricity source","percent","Benin.2016","BEN.2016"
"Benin","BEN","Renewables","2017",NA,"electricity source","percent","Benin.2017","BEN.2017"
"Benin","BEN","Renewables","2018",NA,"electricity source","percent","Benin.2018","BEN.2018"
"Botswana","BWA","Coal","1999",0.976085031000886,"electricity source","percent","Botswana.1999","BWA.1999"
"Botswana","BWA","Coal","2000",0.976315789473684,"electricity source","percent","Botswana.2000","BWA.2000"
"Botswana","BWA","Coal","2001",0.978742249778565,"electricity source","percent","Botswana.2001","BWA.2001"
"Botswana","BWA","Coal","2002",0.974694589877836,"electricity source","percent","Botswana.2002","BWA.2002"
"Botswana","BWA","Coal","2003",0.972168905950096,"electricity source","percent","Botswana.2003","BWA.2003"
"Botswana","BWA","Coal","2004",0.947638603696099,"electricity source","percent","Botswana.2004","BWA.2004"
"Botswana","BWA","Coal","2005",0.994296577946768,"electricity source","percent","Botswana.2005","BWA.2005"
"Botswana","BWA","Coal","2006",0.993896236012208,"electricity source","percent","Botswana.2006","BWA.2006"
"Botswana","BWA","Coal","2007",0.992753623188406,"electricity source","percent","Botswana.2007","BWA.2007"
"Botswana","BWA","Coal","2008",1,"electricity source","percent","Botswana.2008","BWA.2008"
"Botswana","BWA","Coal","2009",1,"electricity source","percent","Botswana.2009","BWA.2009"
"Botswana","BWA","Coal","2010",1,"electricity source","percent","Botswana.2010","BWA.2010"
"Botswana","BWA","Coal","2011",0.914225941422594,"electricity source","percent","Botswana.2011","BWA.2011"
"Botswana","BWA","Coal","2012",0.714285714285714,"electricity source","percent","Botswana.2012","BWA.2012"
"Botswana","BWA","Coal","2013",0.823401950162513,"electricity source","percent","Botswana.2013","BWA.2013"
"Botswana","BWA","Coal","2014",0.956766104626027,"electricity source","percent","Botswana.2014","BWA.2014"
"Botswana","BWA","Coal","2015",0.963599595551062,"electricity source","percent","Botswana.2015","BWA.2015"
"Botswana","BWA","Coal","2016",NA,"electricity source","percent","Botswana.2016","BWA.2016"
"Botswana","BWA","Coal","2017",NA,"electricity source","percent","Botswana.2017","BWA.2017"
"Botswana","BWA","Coal","2018",NA,"electricity source","percent","Botswana.2018","BWA.2018"
"Botswana","BWA","Hydro","1999",0,"electricity source","percent","Botswana.1999","BWA.1999"
"Botswana","BWA","Hydro","2000",0,"electricity source","percent","Botswana.2000","BWA.2000"
"Botswana","BWA","Hydro","2001",0,"electricity source","percent","Botswana.2001","BWA.2001"
"Botswana","BWA","Hydro","2002",0,"electricity source","percent","Botswana.2002","BWA.2002"
"Botswana","BWA","Hydro","2003",0,"electricity source","percent","Botswana.2003","BWA.2003"
"Botswana","BWA","Hydro","2004",0,"electricity source","percent","Botswana.2004","BWA.2004"
"Botswana","BWA","Hydro","2005",0,"electricity source","percent","Botswana.2005","BWA.2005"
"Botswana","BWA","Hydro","2006",0,"electricity source","percent","Botswana.2006","BWA.2006"
"Botswana","BWA","Hydro","2007",0,"electricity source","percent","Botswana.2007","BWA.2007"
"Botswana","BWA","Hydro","2008",0,"electricity source","percent","Botswana.2008","BWA.2008"
"Botswana","BWA","Hydro","2009",0,"electricity source","percent","Botswana.2009","BWA.2009"
"Botswana","BWA","Hydro","2010",0,"electricity source","percent","Botswana.2010","BWA.2010"
"Botswana","BWA","Hydro","2011",0,"electricity source","percent","Botswana.2011","BWA.2011"
"Botswana","BWA","Hydro","2012",0,"electricity source","percent","Botswana.2012","BWA.2012"
"Botswana","BWA","Hydro","2013",0,"electricity source","percent","Botswana.2013","BWA.2013"
"Botswana","BWA","Hydro","2014",0,"electricity source","percent","Botswana.2014","BWA.2014"
"Botswana","BWA","Hydro","2015",0,"electricity source","percent","Botswana.2015","BWA.2015"
"Botswana","BWA","Hydro","2016",NA,"electricity source","percent","Botswana.2016","BWA.2016"
"Botswana","BWA","Hydro","2017",NA,"electricity source","percent","Botswana.2017","BWA.2017"
"Botswana","BWA","Hydro","2018",NA,"electricity source","percent","Botswana.2018","BWA.2018"
"Botswana","BWA","Gas","1999",0,"electricity source","percent","Botswana.1999","BWA.1999"
"Botswana","BWA","Gas","2000",0,"electricity source","percent","Botswana.2000","BWA.2000"
"Botswana","BWA","Gas","2001",0,"electricity source","percent","Botswana.2001","BWA.2001"
"Botswana","BWA","Gas","2002",0,"electricity source","percent","Botswana.2002","BWA.2002"
"Botswana","BWA","Gas","2003",0,"electricity source","percent","Botswana.2003","BWA.2003"
"Botswana","BWA","Gas","2004",0,"electricity source","percent","Botswana.2004","BWA.2004"
"Botswana","BWA","Gas","2005",0,"electricity source","percent","Botswana.2005","BWA.2005"
"Botswana","BWA","Gas","2006",0,"electricity source","percent","Botswana.2006","BWA.2006"
"Botswana","BWA","Gas","2007",0,"electricity source","percent","Botswana.2007","BWA.2007"
"Botswana","BWA","Gas","2008",0,"electricity source","percent","Botswana.2008","BWA.2008"
"Botswana","BWA","Gas","2009",0,"electricity source","percent","Botswana.2009","BWA.2009"
"Botswana","BWA","Gas","2010",0,"electricity source","percent","Botswana.2010","BWA.2010"
"Botswana","BWA","Gas","2011",0,"electricity source","percent","Botswana.2011","BWA.2011"
"Botswana","BWA","Gas","2012",0,"electricity source","percent","Botswana.2012","BWA.2012"
"Botswana","BWA","Gas","2013",0,"electricity source","percent","Botswana.2013","BWA.2013"
"Botswana","BWA","Gas","2014",0,"electricity source","percent","Botswana.2014","BWA.2014"
"Botswana","BWA","Gas","2015",0,"electricity source","percent","Botswana.2015","BWA.2015"
"Botswana","BWA","Gas","2016",NA,"electricity source","percent","Botswana.2016","BWA.2016"
"Botswana","BWA","Gas","2017",NA,"electricity source","percent","Botswana.2017","BWA.2017"
"Botswana","BWA","Gas","2018",NA,"electricity source","percent","Botswana.2018","BWA.2018"
"Botswana","BWA","Nuclear","1999",0,"electricity source","percent","Botswana.1999","BWA.1999"
"Botswana","BWA","Nuclear","2000",0,"electricity source","percent","Botswana.2000","BWA.2000"
"Botswana","BWA","Nuclear","2001",0,"electricity source","percent","Botswana.2001","BWA.2001"
"Botswana","BWA","Nuclear","2002",0,"electricity source","percent","Botswana.2002","BWA.2002"
"Botswana","BWA","Nuclear","2003",0,"electricity source","percent","Botswana.2003","BWA.2003"
"Botswana","BWA","Nuclear","2004",0,"electricity source","percent","Botswana.2004","BWA.2004"
"Botswana","BWA","Nuclear","2005",0,"electricity source","percent","Botswana.2005","BWA.2005"
"Botswana","BWA","Nuclear","2006",0,"electricity source","percent","Botswana.2006","BWA.2006"
"Botswana","BWA","Nuclear","2007",0,"electricity source","percent","Botswana.2007","BWA.2007"
"Botswana","BWA","Nuclear","2008",0,"electricity source","percent","Botswana.2008","BWA.2008"
"Botswana","BWA","Nuclear","2009",0,"electricity source","percent","Botswana.2009","BWA.2009"
