Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Brazil,BRA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,2.6,..,..,2.4,..,..,..,2.4,2.4,2.3,2.3,2.3,2.2,..,..,..,..,..
Brazil,BRA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.1304,1.3852,1.4133,1.4696,1.5807,1.6592,1.6931,1.7225,1.7714,1.8077,1.8039,1.8382,..,1.8693,..,..,..,2.1502,2.1499,..
British Virgin Islands,VGB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.5999999046,..,2.7,..,2.6,3,2.79,..,2.7,2.6,..,2.79,2.7,..,..,2.7,..,..,..,..
Brunei Darussalam,BRN,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.0084,..,1.1531,..,1.2879,1.0679,1.0775,1.0483,1.4869,1.1595,1.4484,1.5431,1.4911,1.617,1.5035,1.7701,..,..,..,..
Bulgaria,BGR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.4,7.2,6.5,6.3,6.1,6.4,6.2,6.4,6.5,6.6,6.5,6.4,6.6,6.8,..,..,..,..,..,..
Bulgaria,BGR,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,3.399,..,..,3.562,..,..,3.66,3.665,3.635,..,3.7764,3.8585,3.9121,3.9761,3.9879,..,..,..,..,..
Burkina Faso,BFA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,0.9,..,..,..,0.4,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,0.04,..,..,0.0543,..,0.028,..,0.0322,0.0446,0.0457,0.0386,0.0475,..,..,..,0.06,..,..,..
Burundi,BDI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,0.7,..,..,..,..,1.9,..,..,0.8,..,..,..,..,..
Burundi,BDI,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.052,..,..,..,0.0278,..,..,..,..,..,0.0477,..,..,..,..,..,0.05,..,..,..
Cabo Verde,CPV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,2.1,..,..,2.1,..,2.1,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.493,..,..,..,..,0.505,0.5812,0.5747,0.5058,0.5922,..,0.7694,..,..,..,..
Cambodia,KHM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,0.6,..,..,0.1,..,..,..,..,..,0.84,0.7,..,0.7,..,0.8,..,..,..,..
Cambodia,KHM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.1684,..,..,..,..,..,..,..,0.2444,0.2378,0.2302,0.2264,0.1651,0.4759,0.1682,..,..,..,..,..
Cameroon,CMR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,1.5,..,..,..,1.3,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.1842,0.0602,..,0.0717,..,0.0693,0.0857,0.0898,..,..,..,..,..,..,..,..
Canada,CAN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.4,3.7000000477,3.7000000477,3.6,..,3.4,3.4,..,3.4,3.2,2.7,2.7,2.7,..,..,..,..,..,..,..
Canada,CAN,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,1.8871,1.8969,..,1.8971,..,1.9086,..,1.959,..,2.0384,..,2.3962,2.4509,2.4961,2.5388,2.5668,2.6102,..,..
Cayman Islands,CYM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,1.2,..,..,..,..,1,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.0816,..,..,..,0.0398,0.0465,..,..,..,..,..,0.0629,..,..,..,..
Chad,TCD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,0.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.0282,0.025,..,..,0.0355,..,0.0353,..,..,..,..,..,0.0416,0.0436,..,..,0.0475,..,..,..
Channel Islands,CHI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,2.5999999046,..,2.4,2.3,2.3,..,..,2.1,2,2.1,2.2,2.2,..,..,..,..,..,..
Chile,CHL,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,0.8956,0.9496,0.9867,0.9825,1.0427,1.0389,1.0418,1.0328,..,..,..,..,..,..,1.08,..,..,..
China,CHN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.5199999809,2.5199999809,2.4500000477,2.2,3,2.45,2.23,..,..,4.2,3.56,3.8,4.2,..,..,..,..,..,..,..
China,CHN,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.2426,1.055,1.1208,..,..,..,..,..,..,1.4015,1.4627,1.4733,1.5467,1.6438,1.6989,1.7855,..,..,..,..
Colombia,COL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,1.1000000238,1.2,..,1,1,..,..,..,1.4,1.5,1.5,1.5,..,..,..,..,..
Colombia,COL,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,1.4135,..,..,1.451,1.4742,1.4974,1.5206,1.5438,1.5676,1.6694,1.74,1.8064,1.8214,1.9379,2.0036,2.0835,..,..
Comoros,COM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,2.2,..,..,..,2.2,..,..,..,..,..,..,..,..,..
Comoros,COM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.1926,0.1897,..,..,..,0.1901,..,..,0.1699,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,1.1,0.8,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.107,..,..,..,..,0.0934,..,..,..,0.09,..,..,..,..,..,..
"Congo, Rep.",COG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,1.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.2097,..,0.2035,0.1008,..,..,0.095,0.1159,..,..,..,..,..,..,..,..
Costa Rica,CRI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,1.3999999762,1.4,..,1.3,1.3,1.2,..,1.2,1.2,1.2,1.1,1.1,1.2,..,..,..,..
Costa Rica,CRI,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.3257,..,..,..,..,..,..,..,..,..,..,..,..,1.1497,..,..,..,..,..,..
Cote d'Ivoire,CIV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,0.4,..,..,..,..,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.1156,0.0926,..,..,0.1408,..,0.144,0.1541,..,..,0.2326,..,..,..,..,..
Croatia,HRV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,6.2,6,5.7,5.6,5.5,5.5,5.5,5.5,5.5,5.4,5.6,5.7,5.9,5.9,5.89,5.6,..,..,..,..
Croatia,HRV,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2.383,2.374,2.4,2.444,2.4,2.5,2.47,2.59,2.661,..,2.8428,2.8956,2.9727,3.017,3.1244,..,2.9962,..,..,..
Cuba,CUB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,4.9000000954,..,4.9,4.9,4.9,6,5.9,5.9,5.1,5.3,5.1,5.2,..,..,..,..,..
Cuba,CUB,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,5.9186,5.929,5.9796,6.0487,6.1874,6.2559,6.3286,6.4064,6.5918,6.6157,6.7507,6.9242,7.2099,7.3341,7.4794,..,..,8.19,..,..
Curacao,CUW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.5,4.4,4.4,4.3,4.2,3.8,3.7,3.8,3.8,3.7,3.5,3.5,3.5,3.4,..,..,..,..,..,..
Cyprus,CYP,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,2.0147,2.0507,2.1064,2.1562,2.2484,2.2958,2.4076,2.4993,..,1.9511,..,..,..
Czech Republic,CZE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.8,7.8,7.8,7.7,7.6,7.6,7.4,7.3,7.2,7.1,7,6.8,6.7,6.5,..,6.5,..,..,..,..
Czech Republic,CZE,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,3.4,3.4,3.5,3.513,..,..,3.58,3.61,3.625,..,3.5744,3.6117,3.6483,3.66,..,..,4.314,..,..,..
Denmark,DNK,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.3,4.2,4.3,4.1,4,3.9,3.8,3.7,3.6,3.5,3.5,3.1,..,3.1,..,2.5,..,..,..,..
Denmark,DNK,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,3.658,2.925,2.9983,3.0427,3.2001,3.163,3.419,3.3935,3.4013,3.5791,3.6184,3.6461,3.6395,3.644,3.6743,4.4567,..,..,..
Djibouti,DJI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.8,1.8,1.8,1.6,1.6,1.6,1.6,..,..,..,1.4,1.4,1.4,1.4,1.4,..,..,..,..,..
Djibouti,DJI,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.1674,0.1788,0.2324,..,..,..,0.229,..,..,..,0.2203,..,..,..,..,..
Dominica,DMA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.8,3.5,3.9000000954,3.9,3.9,3.9,..,4,3.8,3.8,3.8,3.8,3.8,..,..,..,..,..,..,..
Dominica,DMA,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,1.7791,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0825,..,..
Dominican Republic,DOM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,2.0999999046,..,2,..,1,1,1,1.6,1.7,..,1.6,1.6,..,..,..,..,..
Dominican Republic,DOM,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.8301,..,..,..,..,..,..,..,1.0777,..,..,1.4943,..,..,..,..,..,1.56,..,..
Ecuador,ECU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,1.5,1.7,..,..,..,1.5,1.5,1.5,1.6,1.6,1.5,1.5,..,..,..,..,..,..
Ecuador,ECU,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.4519,1.5513,1.5753,1.5064,..,..,..,..,..,1.6073,2.1219,1.6654,..,..,..,2.0734,2.05,..,..,..
"Egypt, Arab Rep.",EGY,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.1,2.1,1.7,1.7,0.5,0.5,0.5,1.6,..,..,..,..,..
"Egypt, Arab Rep.",EGY,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2.118,..,..,0.5202,..,2.401,..,2.604,..,2.804,2.83,..,..,..,0.794,0.81,0.8107,0.7902,..,..
El Salvador,SLV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,0.9,0.9,0.7,0.8,1.1,1,1,1.1,1.1,1.3,..,..,..,..,..
El Salvador,SLV,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.211,..,1.3363,..,..,1.7175,1.5,..,1.8889,..,1.596,..,..,..,..,..,1.569,..,..,..
Equatorial Guinea,GNQ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,1.1,..,..,..,2.2,..,..,..,1.9,2.1,..,..,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.2111,..,..,..,..,..,..,..,..,..,..,..,..,0.4,..,..
Eritrea,ERI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,1.2,..,..,..,..,0.7,..,..,..,..,..,..,..,..
Eritrea,ERI,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,0.0557,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7,6.6,6,5.7,5.7,5.4,5.6,5.5,5.7,5.4,5.2,5.3,5.5,5,..,5,..,..,..,..
Estonia,EST,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,4.3728,3.16,..,..,..,..,3.33,..,3.409,..,3.2422,3.2912,3.278,3.3255,3.3101,3.4152,3.4651,..,..,..
Eswatini,SWZ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,2.1,..,..,..,..,2.1,..,..,..,..,..,..,..,..
Eswatini,SWZ,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,0.1668,..,0.1471,0.1562,..,..,..,..,0.1465,..,0.089,..,..,..,..,0.0796,..,..,..
Ethiopia,ETH,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,0.2,..,0.2,..,0.2,..,..,6.3,..,..,..,0.3,..,..,..,..
Ethiopia,ETH,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.021,0.028,0.029,0.0267,0.0267,0.032,0.0268,0.0223,0.0251,0.0252,0.022,..,..,..,..,..,..,0.1,..,..
Faroe Islands,FRO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Faroe Islands,FRO,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..,..,2.1,2.09,..,..,2.1,2.1,..,2.3,..,..,..,..,..,..,..,..
Fiji,FJI,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,..,..,..,0.4653,..,..,..,..,0.3996,0.4366,0.426,..,..,0.8025,..,0.8374,..,..,..,..
Finland,FIN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.5,7.5,7.4,7.2,7.1,7.1,7,6.7,6.5,6.3,5.9,5.5,5.3,4.9,..,4.4,..,..,..,..
Finland,FIN,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,2.6,2.6,3.1546,2.6,..,..,3.3,3.319,2.735,2.8795,2.9874,2.9856,3.0693,3.1483,3.2073,..,3.808,..,..,..
France,FRA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.2,8.1,8,7.8,7.6,7.5,7.3,7.3,7.1,6.9,6.6,6.6,6.5,6.5,..,..,..,..,..,..
