"code","wb","wcd","afrobarometer","wvs","region","inc_group"
"ECU","Ecuador","Ecuador",NA,"Ecuador","Latin America & Caribbean","Upper middle income"
"EGY","Egypt Arab Rep.","Egypt","Egypt","Egypt","Middle East & North Africa","Lower middle income"
"EMU","Euro area",NA,NA,NA,NA,NA
"ERI","Eritrea","Eritrea",NA,NA,"Sub-Saharan Africa","Low income"
"ESP","Spain","Spain",NA,"Spain","Europe & Central Asia","High income"
"EST","Estonia","Estonia",NA,"Estonia","Europe & Central Asia","High income"
"ETH","Ethiopia","Ethiopia",NA,"Ethiopia","Sub-Saharan Africa","Low income"
"EUU","European Union",NA,NA,NA,NA,NA
"FCS","Fragile and conflict affected situations",NA,NA,NA,NA,NA
"FIN","Finland","Finland",NA,"Finland","Europe & Central Asia","High income"
"FJI","Fiji","Fiji",NA,NA,"East Asia & Pacific","Upper middle income"
"FRA","France","France",NA,"France","Europe & Central Asia","High income"
"FRO","Faroe Islands","Faeroe Islands",NA,NA,"Europe & Central Asia","High income"
"FSM","Micronesia Fed. Sts.","Micronesia",NA,NA,"East Asia & Pacific","Lower middle income"
"GAB","Gabon","Gabon","Gabon",NA,"Sub-Saharan Africa","Upper middle income"
"GBR","United Kingdom","United Kingdom",NA,"United Kingdom","Europe & Central Asia","High income"
"GEO","Georgia","Georgia",NA,"Georgia","Europe & Central Asia","Lower middle income"
"GHA","Ghana","Ghana","Ghana","Ghana","Sub-Saharan Africa","Lower middle income"
"GIB","Gibraltar","Gibraltar",NA,NA,"Europe & Central Asia","High income"
"GIN","Guinea","Guinea","Guinea",NA,"Sub-Saharan Africa","Low income"
"GMB","Gambia The","Gambia","Gambia",NA,"Sub-Saharan Africa","Low income"
"GNB","Guinea-Bissau","Guinea-Bissau",NA,NA,"Sub-Saharan Africa","Low income"
"GNQ","Equatorial Guinea","Equatorial Guinea",NA,NA,"Sub-Saharan Africa","Upper middle income"
"GRC","Greece","Greece",NA,NA,"Europe & Central Asia","High income"
"GRD","Grenada","Grenada",NA,NA,"Latin America & Caribbean","Upper middle income"
"GRL","Greenland","Greenland",NA,NA,"Europe & Central Asia","High income"
"GTM","Guatemala","Guatemala",NA,"Guatemala","Latin America & Caribbean","Upper middle income"
"GUM","Guam","Guam",NA,NA,"East Asia & Pacific","High income"
"GUY","Guyana","Guyana",NA,NA,"Latin America & Caribbean","Upper middle income"
"HIC","High income",NA,NA,NA,NA,NA
"HKG","Hong Kong SAR,  China","Hong Kong",NA,"Hong Kong","East Asia & Pacific","High income"
"HND","Honduras","Honduras",NA,NA,"Latin America & Caribbean","Lower middle income"
"HPC","Heavily indebted poor countries (HIPC)",NA,NA,NA,NA,NA
"HRV","Croatia","Croatia",NA,"Croatia","Europe & Central Asia","High income"
"HTI","Haiti","Haiti",NA,"Haiti","Latin America & Caribbean","Low income"
"HUN","Hungary","Hungary",NA,"Hungary","Europe & Central Asia","High income"
"IBD","IBRD only",NA,NA,NA,NA,NA
"IBT","IDA & IBRD total",NA,NA,NA,NA,NA
"IDA","IDA total",NA,NA,NA,NA,NA
"IDB","IDA blend",NA,NA,NA,NA,NA
"IDN","Indonesia","Indonesia",NA,"Indonesia","East Asia & Pacific","Lower middle income"
"IDX","IDA only",NA,NA,NA,NA,NA
"IMN","Isle of Man","Isle of Man",NA,NA,"Europe & Central Asia","High income"
"IND","India","India",NA,"India","South Asia","Lower middle income"
"IRL","Ireland","Ireland",NA,NA,"Europe & Central Asia","High income"
"IRN","Iran Islamic Rep.","Iran","Iran","Iran","Middle East & North Africa","Upper middle income"
"IRQ","Iraq","Iraq",NA,"Iraq","Middle East & North Africa","Upper middle income"
"ISL","Iceland","Iceland",NA,NA,"Europe & Central Asia","High income"
"ISR","Israel","Israel",NA,"Israel","Middle East & North Africa","High income"
"ITA","Italy","Italy",NA,"Italy","Europe & Central Asia","High income"
"JAM","Jamaica","Jamaica",NA,NA,"Latin America & Caribbean","Upper middle income"
"JOR","Jordan","Jordan",NA,"Jordan","Middle East & North Africa","Upper middle income"
"JPN","Japan","Japan",NA,"Japan","East Asia & Pacific","High income"
"KAZ","Kazakhstan","Kazakhstan",NA,"Kazakhstan","Europe & Central Asia","Upper middle income"
"KEN","Kenya","Kenya","Kenya",NA,"Sub-Saharan Africa","Lower middle income"
"KGZ","Kyrgyz Republic","Kyrgyzstan",NA,"Kyrgyzstan","Europe & Central Asia","Lower middle income"
"KHM","Cambodia","Cambodia",NA,NA,"East Asia & Pacific","Lower middle income"
"KIR","Kiribati","Kiribati",NA,NA,"East Asia & Pacific","Lower middle income"
"KNA","St. Kitts and Nevis","Saint Kitts & Nevis",NA,NA,"Latin America & Caribbean","High income"
"KOR","Korea, Rep.","South Korea",NA,NA,"East Asia & Pacific","High income"
"KWT","Kuwait","Kuwait",NA,"Kuwait","Middle East & North Africa","High income"
"LAC","Latin America & Caribbean (excluding high income)",NA,NA,NA,NA,NA
"LAO","Lao PDR",NA,NA,NA,"East Asia & Pacific","Lower middle income"
"LBN","Lebanon","Lebanon",NA,"Lebanon","Middle East & North Africa","Upper middle income"
"LBR","Liberia","Liberia","Liberia",NA,"Sub-Saharan Africa","Low income"
"LBY","Libya","Libya",NA,"Libya","Middle East & North Africa","Upper middle income"
"LCA","St. Lucia","Saint Lucia",NA,NA,"Latin America & Caribbean","Upper middle income"
"LCN","Latin America & Caribbean",NA,NA,NA,NA,NA
"LDC","Least developed countries: UN classification",NA,NA,NA,NA,NA
"LIC","Low income",NA,NA,NA,NA,NA
"LIE","Liechtenstein","Liechtenstein",NA,NA,"Europe & Central Asia","High income"
"LKA","Sri Lanka","Sri Lanka",NA,NA,"South Asia","Lower middle income"
"LMC","Lower middle income",NA,NA,NA,NA,NA
"LMY","Low & middle income",NA,NA,NA,NA,NA
"LSO","Lesotho","Lesotho","Lesotho",NA,"Sub-Saharan Africa","Lower middle income"
"LTE","Late-demographic dividend",NA,NA,NA,NA,NA
"LTU","Lithuania","Lithuania",NA,"Lithuania","Europe & Central Asia","High income"
"LUX","Luxembourg","Luxembourg",NA,NA,"Europe & Central Asia","High income"
"LVA","Latvia","Latvia",NA,"Latvia","Europe & Central Asia","High income"
"MAC","Macao SAR China",NA,NA,NA,"East Asia & Pacific","High income"
"MAF","St. Martin (French part)",NA,NA,NA,"Latin America & Caribbean","High income"
"MAR","Morocco","Morocco","Morocco","Morocco","Middle East & North Africa","Lower middle income"
"MCO","Monaco","Monaco",NA,NA,"Europe & Central Asia","High income"
"MDA","Moldova","Moldova",NA,"Moldova","Europe & Central Asia","Lower middle income"
"MDG","Madagascar","Madagascar","Madagascar",NA,"Sub-Saharan Africa","Low income"
"MDV","Maldives","Maldives",NA,NA,"South Asia","Upper middle income"
"MEA","Middle East & North Africa",NA,NA,NA,NA,NA
"MEX","Mexico","Mexico",NA,"Mexico","Latin America & Caribbean","Upper middle income"
"MHL","Marshall Islands","Marshall Islands",NA,NA,"East Asia & Pacific","Upper middle income"
"MIC","Middle income",NA,NA,NA,NA,NA
"MKD","Macedonia FYR","Macedonia",NA,"Macedonia","Europe & Central Asia","Upper middle income"
"MLI","Mali","Mali","Mali","Mali","Sub-Saharan Africa","Low income"
"MLT","Malta","Malta",NA,NA,"Middle East & North Africa","High income"
"MMR","Myanmar","Myanmar",NA,NA,"East Asia & Pacific","Lower middle income"
"MNA","Middle East & North Africa (excluding high income)",NA,NA,NA,NA,NA
"MNE","Montenegro","Montenegro",NA,"Montenegro","Europe & Central Asia","Upper middle income"
"MNG","Mongolia","Mongolia",NA,NA,"East Asia & Pacific","Lower middle income"
"MNP","Northern Mariana Islands","Northern Mariana Is",NA,NA,"East Asia & Pacific","High income"
"MOZ","Mozambique","Mozambique","Mozambique",NA,"Sub-Saharan Africa","Low income"
"MRT","Mauritania","Mauritania",NA,NA,"Sub-Saharan Africa","Lower middle income"
"MUS","Mauritius","Mauritius","Mauritius",NA,"Sub-Saharan Africa","Upper middle income"
"MWI","Malawi","Malawi","Malawi",NA,"Sub-Saharan Africa","Low income"
"MYS","Malaysia","Malaysia",NA,"Malaysia","East Asia & Pacific","Upper middle income"
"NAC","North America",NA,NA,NA,NA,NA
"NAM","Namibia","Namibia","Namibia",NA,"Sub-Saharan Africa","Upper middle income"
"NCL","New Caledonia","New Caledonia",NA,NA,"East Asia & Pacific","High income"
"NER","Niger","Niger","Niger",NA,"Sub-Saharan Africa","Low income"
"NGA","Nigeria","Nigeria","Nigeria","Nigeria","Sub-Saharan Africa","Lower middle income"
"NIC","Nicaragua","Nicaragua",NA,NA,"Latin America & Caribbean","Lower middle income"
"NLD","Netherlands","Netherlands",NA,"Netherlands","Europe & Central Asia","High income"
"NOR","Norway","Norway",NA,"Norway","Europe & Central Asia","High income"
"NPL","Nepal","Nepal",NA,NA,"South Asia","Low income"
"NRU","Nauru","Nauru",NA,NA,"East Asia & Pacific","Upper middle income"
"NZL","New Zealand","New Zealand",NA,"New Zealand","East Asia & Pacific","High income"
"OED","OECD members",NA,NA,NA,NA,NA
"OMN","Oman","Oman",NA,NA,"Middle East & North Africa","High income"
"OSS","Other small states",NA,NA,NA,NA,NA
"PAK","Pakistan","Pakistan",NA,"Pakistan","South Asia","Lower middle income"
"PAN","Panama","Panama",NA,NA,"Latin America & Caribbean","High income"
"PER","Peru","Peru",NA,"Peru","Latin America & Caribbean","Upper middle income"
"PHL","Philippines","Philippines",NA,"Philippines","East Asia & Pacific","Lower middle income"
"PLW","Palau","Palau",NA,NA,"East Asia & Pacific","High income"
"PNG","Papua New Guinea","Papua New Guinea",NA,NA,"East Asia & Pacific","Lower middle income"
"POL","Poland","Poland",NA,"Poland","Europe & Central Asia","High income"
"PRE","Pre-demographic dividend",NA,NA,NA,NA,NA
"PRI","Puerto Rico","Puerto Rico",NA,"Puerto Rico","Latin America & Caribbean","High income"
"PRK","Korea, Dem. People's Rep.","North Korea",NA,NA,"East Asia & Pacific","Low income"
"PRT","Portugal","Portugal",NA,NA,"Europe & Central Asia","High income"
"PRY","Paraguay","Paraguay",NA,NA,"Latin America & Caribbean","Upper middle income"
"PSE","West Bank and Gaza","Palestine",NA,"Palestine","Middle East & North Africa","Lower middle income"
"PSS","Pacific island small states",NA,NA,NA,NA,NA
"PST","Post-demographic dividend",NA,NA,NA,NA,NA
"PYF","French Polynesia","French Polynesia",NA,NA,"East Asia & Pacific","High income"
"QAT","Qatar","Qatar",NA,"Qatar","Middle East & North Africa","High income"
"ROU","Romania","Romania",NA,"Romania","Europe & Central Asia","Upper middle income"
"RUS","Russian Federation","Russia",NA,NA,"Europe & Central Asia","Upper middle income"
"RWA","Rwanda","Rwanda",NA,"Rwanda","Sub-Saharan Africa","Low income"
"SAS","South Asia",NA,NA,NA,NA,NA
"SAU","Saudi Arabia","Saudi Arabia",NA,"Saudi Arabia","Middle East & North Africa","High income"
"SDN","Sudan","Sudan","Sudan",NA,"Sub-Saharan Africa","Lower middle income"
"SEN","Senegal","Senegal","Senegal",NA,"Sub-Saharan Africa","Low income"
"SGP","Singapore","Singapore",NA,"Singapore","East Asia & Pacific","High income"
"SLB","Solomon Islands","Solomon Islands",NA,NA,"East Asia & Pacific","Lower middle income"
"SLE","Sierra Leone","Sierra Leone","Sierra Leone",NA,"Sub-Saharan Africa","Low income"
"SLV","El Salvador","El Salvador",NA,"El Salvador","Latin America & Caribbean","Lower middle income"
"SMR","San Marino","San Marino",NA,NA,"Europe & Central Asia","High income"
"SOM","Somalia","Somalia",NA,NA,"Sub-Saharan Africa","Low income"
"SRB","Serbia","Serbia",NA,"Serbia","Europe & Central Asia","Upper middle income"
"SSA","Sub-Saharan Africa (excluding high income)",NA,NA,NA,NA,NA
"SSD","South Sudan","South Sudan",NA,NA,"Sub-Saharan Africa","Low income"
"SSF","Sub-Saharan Africa",NA,NA,NA,NA,NA
"SST","Small states",NA,NA,NA,NA,NA
"STP","São Tomé and Principe","Sao Tome & Principe","São Tomé and Príncipe",NA,"Sub-Saharan Africa","Lower middle income"
"SUR","Suriname","Suriname",NA,NA,"Latin America & Caribbean","Upper middle income"
"SVK","Slovak Republic","Slovakia",NA,"Slovakia","Europe & Central Asia","High income"
"SVN","Slovenia","Slovenia",NA,"Slovenia","Europe & Central Asia","High income"
"SWE","Sweden","Sweden",NA,"Sweden","Europe & Central Asia","High income"
"SWZ","Swaziland","Eswatini","Swaziland",NA,"Sub-Saharan Africa","Lower middle income"
"SXM","Sint Maarten (Dutch part)","Sint Maarten",NA,NA,"Latin America & Caribbean","High income"
"SYC","Seychelles","Seychelles",NA,NA,"Sub-Saharan Africa","High income"
"SYR","Syrian Arab Republic","Syria",NA,NA,"Middle East & North Africa","Low income"
"TCA","Turks and Caicos Islands","Turks & Caicos Is",NA,NA,"Latin America & Caribbean","High income"
"TCD","Chad","Chad",NA,NA,"Sub-Saharan Africa","Low income"
"TEA","East Asia & Pacific (IDA & IBRD)",NA,NA,NA,NA,NA
"TEC","Europe & Central Asia (IDA & IBRD)",NA,NA,NA,NA,NA
"TGO","Togo","Togo","Togo",NA,"Sub-Saharan Africa","Low income"
"THA","Thailand","Thailand",NA,"Thailand","East Asia & Pacific","Upper middle income"
"TJK","Tajikistan","Tajikistan",NA,NA,"Europe & Central Asia","Low income"
"TKM","Turkmenistan","Turkmenistan",NA,NA,"Europe & Central Asia","Upper middle income"
"TLA","Latin America & Caribbean (IDA & IBRD)",NA,NA,NA,NA,NA
"TLS","Timor-Leste","Timor-Leste",NA,NA,"East Asia & Pacific","Lower middle income"
"TMN","Middle East & North Africa (IDA & IBRD)",NA,NA,NA,NA,NA
"TON","Tonga","Tonga",NA,NA,"East Asia & Pacific","Upper middle income"
"TSA","South Asia (IDA & IBRD)",NA,NA,NA,NA,NA
"TSS","Sub-Saharan Africa (IDA & IBRD)",NA,NA,NA,NA,NA
"TTO","Trinidad and Tobago","Trinidad & Tobago",NA,"Trinidad and Tobago","Latin America & Caribbean","High income"
"TUN","Tunisia","Tunisia","Tunisia","Tunisia","Middle East & North Africa","Lower middle income"
"TUR","Turkey","Turkey",NA,"Turkey","Europe & Central Asia","Upper middle income"
"TUV","Tuvalu","Tuvalu",NA,NA,"East Asia & Pacific","Upper middle income"
"TWN","Taiwan China","Taiwan",NA,"Taiwan","East Asia & Pacific","High income"
"TZA","Tanzania","Tanzania","Tanzania","Tanzania","Sub-Saharan Africa","Low income"
"UGA","Uganda","Uganda","Uganda","Uganda","Sub-Saharan Africa","Low income"
"UKR","Ukraine","Ukraine",NA,"Ukraine","Europe & Central Asia","Lower middle income"
"UMC","Upper middle income",NA,NA,NA,NA,NA
"URY","Uruguay","Uruguay",NA,"Uruguay","Latin America & Caribbean","High income"
"USA","United States","United States",NA,"United States","North America","High income"
"UZB","Uzbekistan","Uzbekistan",NA,"Uzbekistan","Europe & Central Asia","Lower middle income"
"VCT","St. Vincent and the Grenadines","Saint Vincent",NA,NA,"Latin America & Caribbean","Upper middle income"
"VEN","Venezuela RB","Venezuela",NA,"Venezuela","Latin America & Caribbean","Upper middle income"
"VGB","British Virgin Islands","British Virgin Islands",NA,NA,"Latin America & Caribbean","High income"
"VIR","Virgin Islands (U.S.)","United States Virgin Is",NA,NA,"Latin America & Caribbean","High income"
"VNM","Vietnam","Viet Nam",NA,"Vietnam","East Asia & Pacific","Lower middle income"
"VUT","Vanuatu","Vanuatu",NA,NA,"East Asia & Pacific","Lower middle income"
"WLD","World",NA,NA,NA,NA,NA
"WSM","Samoa","Samoa",NA,NA,"East Asia & Pacific","Upper middle income"
"XKX","Kosovo","Kosovo",NA,NA,"Europe & Central Asia","Lower middle income"
"YEM","Yemen Rep.","Yemen",NA,"Yemen","Middle East & North Africa","Low income"
"ZAF","South Africa","South Africa","South Africa","South Africa","Sub-Saharan Africa","Upper middle income"
"ZMB","Zambia","Zambia","Zambia","Zambia","Sub-Saharan Africa","Lower middle income"
"ZWE","Zimbabwe","Zimbabwe","Zimbabwe","Zimbabwe","Sub-Saharan Africa","Low income"
